Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,183.9812,123.0040,122.9433,0.0607,1.1382,123.1369,1.0568,122.0801,NA,NA,NA,NA,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,306.9852,0.6051,0.4940,0.1111,1.6554,0.4967,0.4967,0.0000,24.6497,200.0662,NA,306.9852,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,307.5903,192.6492,192.5941,0.0551,1.3094,192.6957,3.7087,188.9870,NA,NA,NA,NA,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,500.2395,0.3472,0.1760,0.1712,1.9983,0.7722,0.7722,0.0000,31.4616,16.6561,-6.8119,500.2395,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,500.5867,35.9797,35.9128,0.0669,1.7840,35.5704,0.9825,34.5879,47.7705,16.6655,-16.3089,500.5867,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,536.5664,19.8107,19.7705,0.0402,1.3785,19.6433,1.0527,18.5906,28.4563,33.3385,19.3142,536.5664,NA,NA,NA
elpian_ui_example.exe,2372,0x1F5231A5900,DXGI,0,0,0,Composed: Copy with GPU GDI,556.3771,22.1427,22.0743,0.0684,1.2151,22.0594,1.4986,20.5608,41.9841,16.6683,-13.5278,556.3771,NA,NA,NA
