Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
chrome.exe,24148,0x23556C824C0,DXGI,0,0,0,Composed: Flip,10.2771,16.0377,15.8069,0.2308,16.1734,0.7018,0.5359,0.1659,44.8002,16.6732,NA,10.2771,NA,NA,NA
chrome.exe,24148,0x23556C824C0,DXGI,0,0,0,Composed: Flip,26.3148,16.2039,15.9680,0.2359,16.3563,0.5437,0.4964,0.0473,45.4357,16.6559,-0.6355,26.3148,NA,NA,NA
chrome.exe,24148,0x23556C824C0,DXGI,0,0,0,Composed: Flip,42.5187,16.6211,16.3864,0.2347,16.7656,0.4113,0.3870,0.0243,45.8877,16.6877,-0.4520,42.5187,NA,NA,NA
chrome.exe,24148,0x23556C824C0,DXGI,0,0,0,Composed: Flip,59.1398,20.7479,20.5275,0.2204,0.6799,22.3986,0.9162,21.4824,45.9543,3549.7616,-0.0666,59.1398,NA,NA,NA
